<NUMBER OF NODES> 	24 
<NUMBER OF LINKS> 	76 
<END OF METADATA> 	 


~ 	Tail 	Head 	: 	Volume 	Cost 	; 
	1 	2 	: 	4604.3856652165468 	6.0008989111520483 	; 
	1 	3 	: 	8197.9796961162301 	4.0090335270505006 	; 
	2 	1 	: 	4625.5054905010174 	6.0009155178135689 	; 
	2 	6 	: 	6027.3657289870252 	6.6378795450660562 	; 
	3 	1 	: 	8176.8598708317586 	4.0089407966351933 	; 
	3 	4 	: 	14370.963894890034 	4.2985668821059715 	; 
	3 	12 	: 	10414.286143928994 	4.0235259961051684 	; 
	4 	3 	: 	14350.953860401361 	4.2969074618201937 	; 
	4 	5 	: 	18187.757442159858 	2.3282750449527119 	; 
	4 	11 	: 	5444.2872812294127 	7.3617451377513046 	; 
	5 	4 	: 	18195.907467420584 	2.3288638473442984 	; 
	5 	6 	: 	8732.8580884705043 	9.8218322633515811 	; 
	5 	9 	: 	15898.623434932353 	9.7918074181551127 	; 
	6 	2 	: 	6048.4855542714931 	6.6609569357927461 	; 
	6 	5 	: 	8750.0936770286353 	9.8679295008717549 	; 
	6 	8 	: 	12549.566507658883 	14.922680921269803 	; 
	7 	8 	: 	12175.923617814771 	5.6154993806057805 	; 
	7 	18 	: 	15784.680766611455 	2.062078785573993 	; 
	8 	6 	: 	12587.921921501487 	15.081389741271547 	; 
	8 	7 	: 	12140.635459260615 	5.5853100671710401 	; 
	8 	9 	: 	6854.8574783216618 	15.091585272963194 	; 
	8 	16 	: 	8342.093626560727 	10.60316740435791 	; 
	9 	5 	: 	15889.537871634953 	9.7808633349551695 	; 
	9 	8 	: 	6798.7464240987529 	14.92691053946573 	; 
	9 	10 	: 	21840.526485171435 	5.730446419930769 	; 
	10 	9 	: 	21875.329867651133 	5.7478921822146445 	; 
	10 	11 	: 	17853.438572835796 	12.619890982217898 	; 
	10 	15 	: 	23072.86788260884 	13.651914011560233 	; 
	10 	16 	: 	11088.448105434554 	20.32701638890779 	; 
	10 	17 	: 	8107.322173590077 	16.338098770561992 	; 
	11 	4 	: 	5516.1272214800119 	7.4350558195537344 	; 
	11 	10 	: 	17607.702321799141 	12.20894999188808 	; 
	11 	12 	: 	8383.5065349954311 	13.656574754170824 	; 
	11 	14 	: 	10004.380957553587 	14.628605009511148 	; 
	12 	3 	: 	10413.176353133194 	4.0235159695856524 	; 
	12 	11 	: 	8403.3415872858495 	13.729292957857954 	; 
	12 	13 	: 	12740.719475026439 	3.0263497084448701 	; 
	13 	12 	: 	12859.444736521053 	3.0273456887100654 	; 
	13 	24 	: 	11093.2133756083 	17.523245287151614 	; 
	14 	11 	: 	9910.6495944771068 	14.235848969628083 	; 
	14 	15 	: 	9064.2347236632177 	12.32410077815484 	; 
	14 	23 	: 	8450.9482204867309 	9.2026179479175898 	; 
	15 	10 	: 	23217.709381724693 	13.845872513562606 	; 
	15 	14 	: 	9149.3356700971544 	12.603052392735808 	; 
	15 	19 	: 	19050.769099751986 	4.3171949388495277 	; 
	15 	22 	: 	18181.316600668182 	8.7913149989493178 	; 
	16 	8 	: 	8401.2719360720803 	10.763861389637549 	; 
	16 	10 	: 	11115.074945316255 	20.484407311246187 	; 
	16 	17 	: 	11638.402912989715 	9.3572908491730367 	; 
	16 	18 	: 	15418.672464670655 	3.169554447732748 	; 
	17 	10 	: 	8116.3934681088776 	16.375479493262993 	; 
	17 	16 	: 	11631.742011503122 	9.3404623770642878 	; 
	17 	19 	: 	9922.1200310360873 	7.3694236422757573 	; 
	18 	7 	: 	15819.968925165605 	2.0626357820980123 	; 
	18 	16 	: 	15511.138515550298 	3.1736584656516125 	; 
	18 	20 	: 	19060.631683348449 	4.2639849410831987 	; 
	19 	15 	: 	19034.701953609994 	4.3127569437324604 	; 
	19 	17 	: 	9924.5304240682981 	7.3746431470733578 	; 
	19 	20 	: 	8655.9742157413857 	9.3781055997858189 	; 
	20 	18 	: 	19088.385892782251 	4.2655258577988686 	; 
	20 	19 	: 	8642.3174626316086 	9.3442451369967436 	; 
	20 	21 	: 	6306.4876023929164 	8.1718044699515104 	; 
	20 	22 	: 	7059.6047259092738 	7.8067257832486909 	; 
	21 	20 	: 	6204.1532907878509 	8.034232629914678 	; 
	21 	22 	: 	8598.0167326149403 	4.1914800251396693 	; 
	21 	24 	: 	10156.957417559861 	11.407785395138092 	; 
	22 	15 	: 	18327.326192359968 	8.979602404770711 	; 
	22 	20 	: 	7076.0364938383518 	7.832948631903804 	; 
	22 	21 	: 	8577.043113969663 	4.1701749451603654 	; 
	22 	23 	: 	9570.3492419492341 	12.05345763702212 	; 
	23 	14 	: 	8272.1159109763157 	8.7760252781680581 	; 
	23 	22 	: 	9711.8169829248127 	12.540301275568879 	; 
	23 	24 	: 	7924.0644845506131 	3.7781506229715087 	; 
	24 	13 	: 	11111.938637102918 	17.614785288649887 	; 
	24 	21 	: 	10075.596724600082 	11.141608171479017 	; 
	24 	23 	: 	7886.6999160157757 	3.7448488354913509 	; 
